"No.","Time","Delta","Source","Source MAC","SRC Port","Destination","Dst MAC","DST Port","Protocol","Length","Info"
"480","2022-11-15 16:18:03.850604","0.039883","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57334","TCP","97","[TCP Retransmission] 443  >  57334 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"481","2022-11-15 16:18:03.885938","0.035334","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.220? Tell 12.227.228.129"
"482","2022-11-15 16:18:03.885938","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.140? Tell 12.227.228.129"
"483","2022-11-15 16:18:03.948872","0.062934","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57331","TCP","97","[TCP Retransmission] 443  >  57331 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"484","2022-11-15 16:18:03.986987","0.038115","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.162? Tell 12.227.228.129"
"485","2022-11-15 16:18:04.088911","0.101924","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.206? Tell 12.227.228.129"
"486","2022-11-15 16:18:04.088911","0.000000","10.31.0.154","76:f3:d2:1a:9a:32","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","569","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR Kirstenâ\200\231s iPhone._rdlink._tcp.local SRV, cache flush 0 0 49155 Kirstens-iPhone.local PTR, cache flush Kirstens-iPhone.local PTR, cache flush Kirstens-iPhone.local AAAA, cache flush fe80::1ce3:e51c:f095:3207 A, cache flush 10.31.0.154 NSEC, cache flush Kirstenâ\200\231s iPhone._rdlink._tcp.local NSEC, cache flush 7.0.2.3.5.9.0.F.C.1.5.E.3.E.C.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 154.0.31.10.in-addr.arpa NSEC, cache flush Kirstens-iPhone.local OPT"
"487","2022-11-15 16:18:04.088911","0.000000","fe80::1ce3:e51c:f095:3207","76:f3:d2:1a:9a:32","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","589","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR Kirstenâ\200\231s iPhone._rdlink._tcp.local SRV, cache flush 0 0 49155 Kirstens-iPhone.local PTR, cache flush Kirstens-iPhone.local PTR, cache flush Kirstens-iPhone.local AAAA, cache flush fe80::1ce3:e51c:f095:3207 A, cache flush 10.31.0.154 NSEC, cache flush Kirstenâ\200\231s iPhone._rdlink._tcp.local NSEC, cache flush 7.0.2.3.5.9.0.F.C.1.5.E.3.E.C.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 154.0.31.10.in-addr.arpa NSEC, cache flush Kirstens-iPhone.local OPT"
"488","2022-11-15 16:18:04.190495","0.101584","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.142? Tell 12.227.228.129"
"489","2022-11-15 16:18:04.190495","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.193? Tell 12.227.228.129"
